round,participants,expected,models,dataset,accuracy,loss,micro_f1,macro_f1,macro_auroc,exact_match,recorded_at
2,10,9,9,chestmnist,66.7890,0.624148,0.103348,0.078094,0.491957,0.0045,2026-06-21 08:10:56
3,10,9,9,chestmnist,76.9304,0.475784,0.082095,0.062098,0.489090,0.2318,2026-06-21 08:11:06
4,10,9,9,chestmnist,84.7610,0.381130,0.065307,0.045003,0.489590,5.6613,2026-06-21 08:11:17
5,10,9,9,chestmnist,90.7149,0.320232,0.044184,0.029061,0.492520,29.0420,2026-06-21 08:11:25
6,10,9,9,chestmnist,93.2895,0.282063,0.023084,0.021223,0.496201,43.2443,2026-06-21 08:11:35
7,10,9,9,chestmnist,94.2167,0.257749,0.010999,0.014135,0.499124,49.4227,2026-06-21 08:11:44
8,10,9,9,chestmnist,94.5135,0.241507,0.005655,0.010688,0.501184,51.4198,2026-06-21 08:11:53
9,10,9,9,chestmnist,94.6351,0.230336,0.003548,0.009912,0.502818,52.3782,2026-06-21 08:12:03
10,10,9,9,chestmnist,94.6861,0.222316,0.002152,0.008238,0.503680,52.7437,2026-06-21 08:12:14
11,10,9,9,chestmnist,94.7061,0.216356,0.001681,0.005906,0.504388,52.8953,2026-06-21 08:12:22
12,10,9,9,chestmnist,94.7157,0.211821,0.001083,0.007121,0.504462,52.9666,2026-06-21 08:12:31
13,10,9,9,chestmnist,94.7217,0.208223,0.000964,0.006914,0.504641,52.9934,2026-06-21 08:12:42
14,10,9,9,chestmnist,94.7249,0.205406,0.000724,0.003999,0.504552,53.0201,2026-06-21 08:12:51
15,10,9,9,chestmnist,94.7284,0.203095,0.000604,0.002522,0.504419,53.0469,2026-06-21 08:13:00
16,10,9,9,chestmnist,94.7310,0.201190,0.000483,0.002020,0.504253,53.0647,2026-06-21 08:13:11
17,10,9,9,chestmnist,94.7316,0.199573,0.000483,0.002020,0.503704,53.0647,2026-06-21 08:13:22
18,10,9,9,chestmnist,94.7319,0.198262,0.000604,0.002524,0.503558,53.0691,2026-06-21 08:13:34
19,10,9,9,chestmnist,94.7338,0.197078,0.000604,0.002525,0.503600,53.0825,2026-06-21 08:13:47
20,10,9,9,chestmnist,94.7338,0.196083,0.000483,0.002021,0.503514,53.0825,2026-06-21 08:13:58
21,10,9,9,chestmnist,94.7342,0.195247,0.000484,0.002022,0.503358,53.0870,2026-06-21 08:14:09
22,10,9,9,chestmnist,94.7348,0.194488,0.000484,0.002022,0.503237,53.0914,2026-06-21 08:14:18
23,10,9,9,chestmnist,94.7358,0.193837,0.000484,0.002022,0.503044,53.1003,2026-06-21 08:14:28
24,10,9,9,chestmnist,94.7358,0.193278,0.000484,0.002022,0.502934,53.1003,2026-06-21 08:14:38
25,10,9,9,chestmnist,94.7361,0.192766,0.000484,0.002023,0.502936,53.1048,2026-06-21 08:14:47
26,10,9,9,chestmnist,94.7370,0.192311,0.000363,0.001518,0.502820,53.1003,2026-06-21 08:14:57
27,10,9,9,chestmnist,94.7377,0.191910,0.000363,0.001518,0.502829,53.1003,2026-06-21 08:15:06
28,10,9,9,chestmnist,94.7380,0.191545,0.000363,0.001518,0.502798,53.1048,2026-06-21 08:15:15
29,10,9,9,chestmnist,94.7380,0.191191,0.000363,0.001518,0.502732,53.1048,2026-06-21 08:15:25
30,10,9,9,chestmnist,94.7377,0.190907,0.000242,0.001012,0.502730,53.1048,2026-06-21 08:15:34
31,10,9,9,chestmnist,94.7377,0.190624,0.000242,0.001012,0.502616,53.1048,2026-06-21 08:15:44
32,10,9,9,chestmnist,94.7377,0.190384,0.000242,0.001012,0.502667,53.1048,2026-06-21 08:15:53
33,10,9,9,chestmnist,94.7377,0.190150,0.000242,0.001012,0.502695,53.1048,2026-06-21 08:16:04
34,10,9,9,chestmnist,94.7377,0.189960,0.000242,0.001012,0.502687,53.1048,2026-06-21 08:16:13
35,10,9,9,chestmnist,94.7377,0.189781,0.000242,0.001012,0.502717,53.1048,2026-06-21 08:16:22
36,10,9,9,chestmnist,94.7380,0.189628,0.000242,0.001012,0.502715,53.1048,2026-06-21 08:16:32
37,10,9,9,chestmnist,94.7380,0.189459,0.000242,0.001012,0.502786,53.1048,2026-06-21 08:16:41
38,10,9,9,chestmnist,94.7380,0.189297,0.000242,0.001012,0.502789,53.1048,2026-06-21 08:16:51
39,10,9,9,chestmnist,94.7386,0.189169,0.000242,0.001012,0.502838,53.1093,2026-06-21 08:17:01
40,10,9,9,chestmnist,94.7386,0.189058,0.000242,0.001012,0.502886,53.1093,2026-06-21 08:17:13
41,10,9,9,chestmnist,94.7386,0.188944,0.000242,0.001012,0.502940,53.1093,2026-06-21 08:17:25
42,10,9,9,chestmnist,94.7386,0.188842,0.000242,0.001012,0.502932,53.1093,2026-06-21 08:17:37
43,10,9,9,chestmnist,94.7386,0.188748,0.000242,0.001012,0.502961,53.1093,2026-06-21 08:17:48
44,10,9,9,chestmnist,94.7389,0.188657,0.000242,0.001013,0.503016,53.1137,2026-06-21 08:18:02
45,10,9,9,chestmnist,94.7389,0.188568,0.000242,0.001013,0.503096,53.1137,2026-06-21 08:18:14
46,10,9,9,chestmnist,94.7389,0.188495,0.000242,0.001013,0.503218,53.1137,2026-06-21 08:18:26
47,10,9,9,chestmnist,94.7389,0.188413,0.000242,0.001013,0.503460,53.1137,2026-06-21 08:18:35
48,10,9,9,chestmnist,94.7389,0.188348,0.000242,0.001013,0.503557,53.1137,2026-06-21 08:18:45
49,10,9,9,chestmnist,94.7389,0.188272,0.000242,0.001013,0.503845,53.1137,2026-06-21 08:18:54
50,10,9,9,chestmnist,94.7389,0.188217,0.000242,0.001013,0.503963,53.1137,2026-06-21 08:19:03
